"If enabled, there will be a Gift card box for customers to apply gift code right in the Shopping cart page","If enabled, there will be a Gift card box for customers to apply gift code right in the Shopping cart page"
"If enabled, there will be a box for customers to write message sent along with the Gift card","If enabled, there will be a box for customers to write message sent along with the Gift card"
"Import","Import"
"Import File","Import File"
"Import Form","Import Form"
"Import Gift Code","Import Gift Code"
"Import and Print","Import and Print"
"Imported by %s","Imported by %s"
"In case Customers choose to ship Gift card","In case Customers choose to ship Gift card"
"Incl. Tax","Incl. Tax"
"Incl. Tax:","Incl. Tax:"
"Info Credit Giftcard","Info Credit Giftcard"
"Initial amount","Initial amount"
"Invalid card code. ","Invalid card code. "
"Invalid data","Invalid data"
"Invalid gift card code. ","Invalid gift card code. "
"Invalid pattern","Invalid pattern"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Last comments","Last comments"
"Loading...","Loading..."
"Logo for PDF Print-outs","Logo for PDF Print-outs"
"MESSAGE: ","MESSAGE: "
"Magestore Extension","Magestore Extension"
"Manage Gift Card Product","Manage Gift Card Product"
"Manage Gift Code","Manage Gift Code"
"Manage Gift Product","Manage Gift Product"
"Manage Gift codes","Manage Gift codes"
"Manage Template","Manage Template"
"Mass status updated by %s","Mass status updated by %s"
"Mass update","Mass update"
"MassCreate","MassCreate"
"Maximum number of users per one Gift code","Maximum number of users per one Gift code"
"Maximum time(s) allowed to enter Gift code incorrectly","Maximum time(s) allowed to enter Gift code incorrectly"
"Message","Message"
"Message Information","Message Information"
"Message max length","Message max length"
"Message:","Message:"
"My Credit","My Credit"
"My credit balance: ","Balance de mi crédito: "
"N/A","N/A"
"Name","Name"
"Name in %s","Name in %s"
"Name:","Name:"
"New Gift Code","New Gift Code"
"New Template","New Template"
"New order status","New order status"
"Next","Next"
"No gift code imported","No gift code imported"
"No uploaded files","No uploaded files"
"Notes: ","Notes: "
"Notify Low Stock RSS","Notify Low Stock RSS"
"Number","Number"
"Number of seen prefixes","Number of seen prefixes"
"Only available when enabling","Only available when enabling"
"Or selecting an existing Gift card code","Or selecting an existing Gift card code"
"Order","Order"
"PDF","PDF"
"Page:","Page:"
"Pattern","Pattern"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Pending","Pending"
"Permanent","Permanent"
"Please enter gift card information","Please enter gift card information"
"Postal Address:","Postal Address:"
"Previous","Previous"
"Price","Price"
"Print","Print"
"Print Card","Print Card"
"Print Gift Code","Print Gift Code"
"Product Information","Product Information"
"Product Type","Product Type"
"Qty","Qty"
"REDEMPTION: ","REDEMPTION: "
"Receive refund from order that uses Gift Voucher to purchase.","Receive refund from order that uses Gift Voucher to purchase."
"Recipient","Recipient"
"Recipient Address","Recipient Address"
"Recipient Email","Recipient Email"
"Recipient Email:","Recipient Email:"
"Recipient Name","Nombre del destinatario"
"Recipient Name:","Nombre del destinatario:"
"Recipient address","Recipient address"
"Recipient email","Recipient email"
"Recipient name","Recipient name"
"Redeem","Redeem"
"Redeem Gift Card","Redimir Gift Card"
"Redeem a Gift Card","Redimir un Gift Card"
"Redeem to the credit balance","Redimir para el balance de crédito"
"Redeem to the customer store credit","Redeem to the customer store credit"
"Redeemed by %s","Redimido por %s"
"Redeemed by Api","Redimido port Api"
"Redeemed gift card %s for customer %s.","Redeemed gift card %s for customer %s."
"Redemption","Redemption"
"Refreshing cart, please wait","Refreshing cart, please wait"
"Refund","Refund"
"Refund Gift card amount to Customer’s Credit balance or to Gift card code","Refund Gift card amount to Customer’s Credit balance or to Gift card code"
"Refund from order %s","Refund from order %s"
"Refund to customer credit balance","Refund to customer credit balance"
"Refund to customer gift card code used to check out","Refund to customer gift card code used to check out"
"Refund to your Gift card code","Refund to your Gift card code"
"Refund to your credit balance","Refund to your credit balance"
"Regular Price:","Regular Price:"
"Remove","Remove"
"Removing Gift Card ","Removing Gift Card "
"Replace hidden characters by","Replace hidden characters by"
"Required Fields","Required Fields"
"Reset Filter","Restablecer  Filtro"
"Result","Resultado"
"Retrieve Credit GiftCard data","Retrieve Credit GiftCard data"
"Retrive giftcard","Retrive giftcard"
"SKU","SKU"
"Save","Save"
"Save And Continue Edit","Save And Continue Edit"
"Save And Generate","Save And Generate"
"Save And Send Email","Save And Send Email"
"Save Template","Save Template"
"Search","Search"
"Select Amount:","Select Amount:"
"Select Date","Select Date"
"Send Gift Card to friend","Enviar tarjeta de regalo a un amigo"
"Send Gift card to friends when Gift card status is","Send Gift card to friends when Gift card status is"
"Send Gift card via emails as well","Send Gift card via emails as well"
"Send email","Send email"
"Send through post office","Enviar a travéz de la oficina postal"
"Send to Friend","Send to Friend"
"Send to purchaser","Send to purchaser"
"Send-to-Purchaser Email template","Send-to-Purchaser Email template"
"Send-to-Recipient Email template","Send-to-Recipient Email template"
"Sender of Email notification","Sender of Email notification"
"Settings","Settings"
"Ship to recipient","Ship to recipient"
"Shipment","Shipment"
"Shipped to Customer","Shipped to Customer"
"Shipping and Tracking","Shipping and Tracking"
"Shipping and Tracking Information","Shipping and Tracking Information"
"Show","Show"
"Show Gift card box in shopping cart page","Show Gift card box in shopping cart page"
"Show link to check Gift card on website","Show link to check Gift card on website"
